candidate_index,state_id,config_id,s2,original_stratum,discovery_class,confirmation_class,widen_ratio_over_base,shrink_ratio_over_base,widen_minus_base_m2,widen_paired_se,widen_support_ratio_abs_delta_over_2se,shrink_minus_base_m2,shrink_paired_se,shrink_support_ratio_abs_delta_over_2se,widen_support,shrink_support,direction_margin,discovery_ambiguity_reason,confirmation_ambiguity_reason,p_ref_full,p_ref_full_se,minimum_arm_ess,hold_proximity_score_diagnostic_only
10,c001_s2_00160,m1d_b20260827_c001,1.6,G-W,AMBIGUOUS,,-0.217757607714403,0.25860703860679957,-0.020394353224300575,0.005960184345383859,1.7108827548342467,0.024220156287511292,0.014211786333303804,0.8521151289318902,True,False,0.608973191710226,unsupported_required_contrast,,0.089218,0.0002901212087894881,6543.320200857626,0.25860703860679957
11,c001_s2_00200,m1d_b20260827_c001,2.0,G-W,WIDEN,WIDEN,-0.12777366452752625,0.19058434460373497,-0.009331636699979988,0.002299418945088218,2.029129298058814,0.013918860910205142,0.0034006323600109666,2.0465106834071674,True,True,0.3649947223375351,,,0.089218,0.0002901212087894881,8987.672903826493,0.19058434460373497
12,c001_s2_00250,m1d_b20260827_c001,2.5,G-H,WIDEN,WIDEN,-0.06584910506645325,0.12132380426109823,-0.0042781730620313945,0.0009464648393346656,2.2600802925964016,0.007882327795483219,0.0017585828569102542,2.24110219331152,True,True,0.20036688969919203,,,0.089218,0.0002901212087894881,11158.855211753198,0.12132380426109823
13,c001_s2_00320,m1d_b20260827_c001,3.2,G-H,AMBIGUOUS,,-0.01426270092024251,0.051552303149248635,-0.0008747644670934852,0.0007729863150763853,0.5658343815614915,0.003161822101155573,0.0008468272622156428,1.8668636699785544,False,True,0.06676728589953256,unsupported_required_contrast,,0.089218,0.0002901212087894881,12902.232739500472,0.051552303149248635
14,c001_s2_00400,m1d_b20260827_c001,4.0,G-H,HOLD,HOLD,0.008932800898303173,0.005537042730721531,0.000538640604505269,0.0007523927259081107,0.3579517623958614,0.00033387915812763504,0.0008191512628325453,0.2037957903971932,False,False,0.005537042730721488,,,0.089218,0.0002901212087894881,13204.679534990843,0.008932800898303173
15,c001_s2_00500,m1d_b20260827_c001,5.0,G-S,AMBIGUOUS,,0.04170305419669362,-0.017113575349613552,0.002512725394500607,0.0007581168739897349,1.6572150552967575,-0.0010311406730273067,0.000756747348425273,0.6812978434434048,True,False,0.05984071818595757,unsupported_required_contrast,,0.089218,0.0002901212087894881,12638.244298276228,0.04170305419669362
16,c001_s2_00640,m1d_b20260827_c001,6.4,G-S,SHRINK,SHRINK,0.07704137859949167,-0.02466885861337642,0.004903479936448539,0.0008399948915399892,2.9187558078233273,-0.0015701075897748263,0.0007675249854207497,1.0228380962178767,True,True,0.10428277422606153,,,0.089218,0.0002901212087894881,11988.48951799362,0.07704137859949167
17,c001_s2_00800,m1d_b20260827_c001,8.0,G-S,SHRINK,SHRINK,0.06884805211016864,-0.045021002029790425,0.0045667665647055305,0.0011816787702074766,1.9323214903419597,-0.0029862922839151607,0.0009604567714571997,1.554620870330465,True,True,0.11923723388889786,,,0.089218,0.0002901212087894881,11083.108699810056,0.06884805211016864
18,c004_s2_00125,m1d_b20260827_c004,1.25,G-W,WIDEN,,-0.284290572311067,0.27083670345161615,-0.07805801370670551,0.012846225473433228,3.038169222085281,0.07436396831046857,0.023820803241897573,1.5609038779110607,True,True,0.7756321969311221,,,0.09350000000000001,0.0003287200056358955,2594.0403362709126,0.284290572311067
19,c004_s2_00160,m1d_b20260827_c004,1.6,G-W,WIDEN,,-0.23559773837431375,0.26197369908469015,-0.0426800070901489,0.006094048091147317,3.5017780014034647,0.04745817770373869,0.012888830345012295,1.8410583595781445,True,True,0.6509287876788824,,,0.09350000000000001,0.0003287200056358955,3837.496883722365,0.26197369908469015
