ambiguity_reason,class,config_id,confirmation_ambiguity_reason,confirmation_direction_margin,confirmation_paired_se,confirmation_paired_support,confirmation_r_s,confirmation_r_w,confirmation_status,confirmed_class,d3_class,direction_margin,discovery_class,hold_proximity_score,independent_confirmation_flag,m3d_class,minimum_arm_ess,paired_se,paired_support,r_s,r_w,s2,selected_mode,stage,state_id
,SHRINK,m1d_b20260827_c000,,0.05045371468459965,0.00016211697661165365,1.376427066092811,-0.014549867646581505,0.03516975216707885,CONFIRMED,SHRINK,,0.08453269548619384,SHRINK,0.04101716044845505,True,SHRINK,13971.946662527034,0.0004182673826757619,1.538906828875511,-0.04012376502695558,0.04101716044845505,4.0,S4,M3-D|D2-DISCOVERY|D2-CONFIRMATION,c000_s2_00400
,SHRINK,m1d_b20260827_c000,,0.09025507062824036,0.00020652028376581789,2.4938942266741724,-0.03207426237498778,0.05528594343724946,CONFIRMED,SHRINK,,0.1190059139188092,SHRINK,0.07793982337641059,True,SHRINK,13223.909288688104,0.0003853973008311489,1.5548308999429492,-0.03669872520922002,0.07793982337641059,5.0,S4,M3-D|D2-DISCOVERY|D2-CONFIRMATION,c000_s2_00500
,SHRINK,m1d_b20260827_c000,,0.14320528746593775,0.00022554531538081994,4.420200325202872,-0.054549569162977374,0.08084393156983305,CONFIRMED,SHRINK,,0.12618362313568765,SHRINK,0.060645901567300986,True,SHRINK,12532.01456335261,0.0004972349173498768,1.9695174322750906,-0.060645901567300986,0.05788520198029423,6.4,S4,M3-D|D2-DISCOVERY|D2-CONFIRMATION,c000_s2_00640
,SHRINK,m1d_b20260827_c000,,0.15063388031224959,0.0002809398576118222,4.549466356174074,-0.07093187720546335,0.06901725920549517,CONFIRMED,SHRINK,,0.10504648509052658,SHRINK,0.05872688344338628,True,SHRINK,11280.358233927667,0.0005509612097986831,1.4290248196612831,-0.041916428197448896,0.05872688344338628,8.0,S4,M3-D|D2-DISCOVERY|D2-CONFIRMATION,c000_s2_00800
,WIDEN,m1d_b20260827_c001,,,,,,,REFERENCE_ONLY,,,1.796006835190152,,,False,WIDEN,,,,,,0.7,S2,M3-D,c001_s2_00070
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c001,,,,,,,NOT_SELECTED,,,0.5257570096081249,AMBIGUOUS,0.3013493748722236,False,,5768.071041440996,0.027564578833365713,0.5351772003282247,0.3013493748722236,-0.14707953712337074,1.25,S2,D2-DISCOVERY,c001_s2_00125
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c001,,,,,,,NOT_SELECTED,,,0.608973191710226,AMBIGUOUS,0.25860703860679957,False,,6543.320200857626,0.014211786333303804,0.8521151289318902,0.25860703860679957,-0.217757607714403,1.6,S2,D2-DISCOVERY,c001_s2_00160
,WIDEN,m1d_b20260827_c001,,0.3698510209228785,0.002086490638263376,3.856604527431983,0.22330782267808025,-0.10697747127718393,CONFIRMED,WIDEN,,0.3649947223375351,WIDEN,0.19058434460373497,True,,8987.672903826493,0.0034006323600109666,2.029129298058814,0.19058434460373497,-0.12777366452752625,2.0,S2,D2-DISCOVERY|D2-CONFIRMATION,c001_s2_00200
,WIDEN,m1d_b20260827_c001,,0.18439780317781349,0.0007018950550810086,3.494966775798541,0.11992964160335773,-0.05443117287239452,CONFIRMED,WIDEN,,0.20036688969919203,WIDEN,0.12132380426109823,True,,11158.855211753198,0.0017585828569102542,2.24110219331152,0.12132380426109823,-0.06584910506645325,2.5,S2,D2-DISCOVERY|D2-CONFIRMATION,c001_s2_00250
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c001,,,,,,,NOT_APPLICABLE_D3_DISCOVERY,,AMBIGUOUS,-0.006507089300693628,,0.05443717578880514,False,,12900.872043265916,0.0008703724126332304,0.24684388549437164,0.05443717578880514,-0.006507089300693658,3.1622776601683795,,D3-BOUNDARY,m1d_b20260827_c001_d3_s2_3p16227766017
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c001,,,,,,,NOT_SELECTED,,,0.06676728589953256,AMBIGUOUS,0.051552303149248635,False,HOLD,12902.232739500472,0.0008468272622156428,0.5658343815614915,0.051552303149248635,-0.01426270092024251,3.2,S2,M3-D|D2-DISCOVERY,c001_s2_00320
,HOLD,m1d_b20260827_c001,,0.004730874698992202,0.0002870924282148295,0.4812335673594095,0.004730874698992249,0.02308981498249829,CONFIRMED,HOLD,,0.005537042730721488,HOLD,0.008932800898303173,True,SHRINK,13204.679534990843,0.0008191512628325453,0.2037957903971932,0.005537042730721531,0.008932800898303173,4.0,S2,M3-D|D2-DISCOVERY|D2-CONFIRMATION,c001_s2_00400
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c001,,,,,,,NOT_SELECTED,,,0.05984071818595757,AMBIGUOUS,0.04170305419669362,False,SHRINK,12638.244298276228,0.0007581168739897349,0.6812978434434048,-0.017113575349613552,0.04170305419669362,5.0,S2,M3-D|D2-DISCOVERY,c001_s2_00500
,SHRINK,m1d_b20260827_c001,,,,,,,NOT_APPLICABLE_D3_DISCOVERY,,SHRINK,0.07469198986323039,,0.041369698702090396,False,,12757.88957324228,0.0008986596778294889,1.3943325396158857,-0.03100636412613511,0.041369698702090396,5.059644256269407,,D3-BOUNDARY,m1d_b20260827_c001_d3_s2_5p05964425627
,SHRINK,m1d_b20260827_c001,,0.08834641722587183,0.00039094784207050273,3.726476657431187,-0.03920088192265392,0.045682277833256846,CONFIRMED,SHRINK,,0.10428277422606153,SHRINK,0.07704137859949167,True,SHRINK,11988.48951799362,0.0008399948915399892,1.0228380962178767,-0.02466885861337642,0.07704137859949167,6.4,S2,M3-D|D2-DISCOVERY|D2-CONFIRMATION,c001_s2_00640
,SHRINK,m1d_b20260827_c001,,0.1381208496980563,0.00047991745486148307,4.009845741546183,-0.05756411450104548,0.07260593079001021,CONFIRMED,SHRINK,,0.11923723388889786,SHRINK,0.06884805211016864,True,SHRINK,11083.108699810056,0.0011816787702074766,1.554620870330465,-0.045021002029790425,0.06884805211016864,8.0,S2,M3-D|D2-DISCOVERY|D2-CONFIRMATION,c001_s2_00800
,WIDEN,m1d_b20260827_c004,,,,,,,NOT_SELECTED,,,0.7756321969311221,WIDEN,0.284290572311067,False,,2594.0403362709126,0.023820803241897573,1.5609038779110607,0.27083670345161615,-0.284290572311067,1.25,S3,D2-DISCOVERY,c004_s2_00125
,WIDEN,m1d_b20260827_c004,,,,,,,NOT_SELECTED,,,0.6509287876788824,WIDEN,0.26197369908469015,False,,3837.496883722365,0.012888830345012295,1.8410583595781445,0.26197369908469015,-0.23559773837431375,1.6,S3,D2-DISCOVERY,c004_s2_00160
,WIDEN,m1d_b20260827_c004,,0.3770898453547777,0.0028576896158019767,3.935707398027375,0.21437670358102556,-0.11815724465808741,CONFIRMED,WIDEN,,0.5128405164793963,WIDEN,0.3190596296720891,True,,5184.8433723661465,0.005763316837706178,2.2220737527339463,0.3190596296720891,-0.12809075688841554,2.0,S3,D2-DISCOVERY|D2-CONFIRMATION,c004_s2_00200
,WIDEN,m1d_b20260827_c004,,,,,,,NOT_SELECTED,,,0.30194841872442596,WIDEN,0.17887467206942076,False,HOLD,6568.781607219635,0.0038730740308180528,1.7201129544721445,0.17887467206942076,-0.09453043214690926,2.5,S3,M3-D|D2-DISCOVERY,c004_s2_00250
,WIDEN,m1d_b20260827_c004,,,,,,,NOT_SELECTED,,,0.21736853609884382,WIDEN,0.13049076608797971,False,,7627.8420240529185,0.003279290834028021,1.950313334811527,0.13049076608797971,-0.07136521721620226,3.2,S3,D2-DISCOVERY,c004_s2_00320
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c004,,,,,,,NOT_SELECTED,,,0.12392191202822268,AMBIGUOUS,0.08131737198310485,False,,8726.616036141491,0.0025826027504981335,0.6172515111096436,0.032527535827861165,-0.08131737198310485,4.0,S3,D2-DISCOVERY,c004_s2_00400
,WIDEN,m1d_b20260827_c004,,,,,,,NOT_APPLICABLE_D3_DISCOVERY,,WIDEN,0.14679434149454662,,0.077276421516014,False,,8639.673103377203,0.0020433233759612904,1.3919911118806494,0.058174178569034396,-0.077276421516014,4.023786974985393,,D3-BOUNDARY,m1d_b20260827_c004_d3_s2_4p02378697499
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c004,,,,,,,NOT_SELECTED,,,0.07431925938701824,AMBIGUOUS,0.053805960029883027,False,,9228.27583292397,0.0017882891816341524,0.5883867425345631,0.053805960029883027,-0.019094230302489024,5.0,S3,D2-DISCOVERY,c004_s2_00500
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c004,,,,,,,NOT_APPLICABLE_D3_DISCOVERY,,AMBIGUOUS,-0.005317265531419476,,0.053333189135022385,False,,9477.031168979032,0.0020902341113258668,0.10962743943819481,0.053333189135022385,-0.005317265531419424,5.059644256269406,,D3-BOUNDARY,m1d_b20260827_c004_d3_s2_5p05964425627
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c004,,,,,,,NOT_APPLICABLE_D3_DISCOVERY,,AMBIGUOUS,0.06417684031443313,,0.036174230442671096,False,,9561.46551249486,0.0017475714557587058,0.7740153929571496,-0.026313868908750204,0.036174230442671096,6.362165830136404,,D3-BOUNDARY,m1d_b20260827_c004_d3_s2_6p36216583014
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c004,,,,,,,NOT_SELECTED,,,0.011722635253295092,AMBIGUOUS,0.056101617006524496,False,,9387.545841469479,0.001900214012068602,0.273493916020032,0.011722635253295088,0.056101617006524496,6.4,S3,D2-DISCOVERY,c004_s2_00640
,SHRINK,m1d_b20260827_c004,,0.08715951381010975,0.0009930658714302418,1.592451182390844,-0.030162463604151868,0.05436810454290497,CONFIRMED,SHRINK,,0.08281915966215293,SHRINK,0.04830165213036186,True,,8941.75949333492,0.002155946381409912,1.0221194846388952,-0.03187744437636353,0.04830165213036186,8.0,S3,D2-DISCOVERY|D2-CONFIRMATION,c004_s2_00800
,AMBIGUOUS,m1d_b20260827_c006,unsupported_required_contrast,0.0904843995389312,0.031348202267931065,0.11272578747839487,0.07537388077311502,-0.013856703289111816,CONFIRMED,AMBIGUOUS,,0.016239987488911613,HOLD,0.02814936535377499,True,,2143.5294562024715,0.03466896200931257,0.09480558573180219,0.02814936535377499,0.016239987488911645,1.25,S4,D2-DISCOVERY|D2-CONFIRMATION,c006_s2_00125
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c006,,,,,,,NOT_SELECTED,,,0.19236542995611033,AMBIGUOUS,0.14667933353845664,False,,2020.1232868751833,0.06217950494319338,0.1205719655810675,0.017470063355852883,-0.14667933353845664,1.6,S4,D2-DISCOVERY,c006_s2_00160
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c006,,,,,,,NOT_SELECTED,,,0.05329559944858089,AMBIGUOUS,0.15646397887313956,False,,2239.126785086488,0.030556314521578715,0.7622654192038184,-0.11150722097071275,-0.15646397887313956,2.0,S4,D2-DISCOVERY,c006_s2_00200
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c006,,,,,,,NOT_SELECTED,,,0.206990419949208,AMBIGUOUS,0.11248355323471904,False,HOLD,2042.1225454516607,0.030354462873529556,0.7005920242743154,0.11248355323471904,-0.07829959969232059,2.5,S4,M3-D|D2-DISCOVERY,c006_s2_00250
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c006,,,,,,,NOT_SELECTED,,,0.24125122037939267,AMBIGUOUS,0.16682625056589173,False,HOLD,2012.093444813056,0.030455248631070048,0.5089575623979313,0.16682625056589173,-0.05995963475528565,3.2,S4,M3-D|D2-DISCOVERY,c006_s2_00320
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c006,,,,,,,NOT_SELECTED,,,0.04907196730061452,AMBIGUOUS,0.15873574063628348,False,,2560.2722624669987,0.014845842932068186,0.5341611304303454,0.15873574063628348,0.04907196730061458,4.0,S4,D2-DISCOVERY,c006_s2_00400
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c006,,,,,,,NOT_SELECTED,,,0.1276669928295675,AMBIGUOUS,0.11010796555825009,False,,2682.3635016394114,0.020001412799897107,0.029105797879427513,0.003501874421913964,-0.11010796555825009,5.0,S4,D2-DISCOVERY,c006_s2_00500
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c006,,,,,,,NOT_SELECTED,,,0.0006441285720188247,AMBIGUOUS,0.08538692189493546,False,,2688.955263977373,0.016582245759361267,0.006616097339097183,0.0006441285720188983,0.08538692189493546,6.4,S4,D2-DISCOVERY,c006_s2_00640
,AMBIGUOUS,m1d_b20260827_c006,unsupported_required_contrast,0.042948779228343774,0.008608745666338976,0.5626204536745416,-0.06100517658985438,-0.020676495222654356,CONFIRMED,AMBIGUOUS,,-0.0065097512094624945,HOLD,0.02966957363222167,True,,2735.0082886334017,0.020236402813633734,0.05267654883797755,-0.006509751209462511,0.02966957363222167,8.0,S4,D2-DISCOVERY|D2-CONFIRMATION,c006_s2_00800
,HOLD,m1d_b20260827_c007,,-0.0037616334100147226,0.0025370225173985263,0.5512393207763323,-0.0037616334100146753,0.019091723746301525,CONFIRMED,HOLD,,-0.009736553894542895,HOLD,0.009736553894542865,True,,4126.163840872062,0.0015038825843157668,0.06424569292796392,0.00047705824860910795,-0.009736553894542865,1.25,S4,D2-DISCOVERY|D2-CONFIRMATION,c007_s2_00125
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c007,,,,,,,NOT_SELECTED,,,0.06781179015897021,AMBIGUOUS,0.04698530575720361,False,,4218.244404133419,0.006792538766152753,0.5699263992631193,0.017640326707204057,-0.04698530575720361,1.6,S4,D2-DISCOVERY,c007_s2_00160
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c007,,,,,,,NOT_SELECTED,,,0.003942084210449079,AMBIGUOUS,0.06092635431695248,False,,5544.433875464151,0.007061703733876736,0.11407657479864888,0.0039420842104491705,0.06092635431695248,2.0,S4,D2-DISCOVERY,c007_s2_00200
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c007,,,,,,,NOT_SELECTED,,,-0.0075241422647537755,AMBIGUOUS,0.036100538328300846,False,HOLD,5184.262700963995,0.005087024782386189,0.10055423811446934,0.036100538328300846,-0.00752414226475373,2.5,S4,M3-D|D2-DISCOVERY,c007_s2_00250
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c007,,,,,,,NOT_SELECTED,,,0.036281765963465,AMBIGUOUS,0.07501810807133891,False,HOLD,4958.51405902446,0.005814513738754406,0.5390877163440632,-0.0414581315479402,-0.07501810807133891,3.2,S4,M3-D|D2-DISCOVERY,c007_s2_00320
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c007,,,,,,,NOT_SELECTED,,,0.05042286356859099,AMBIGUOUS,0.026629684941424925,False,,4687.538977092142,0.005290120730937749,0.3403903568111174,0.026629684941424925,-0.022651047927816137,4.0,S4,D2-DISCOVERY,c007_s2_00400
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c007,,,,,,,NOT_SELECTED,,,0.0686668630178179,AMBIGUOUS,0.03685129536544163,False,,5054.261468974768,0.005377497384764836,0.4461024678819502,0.03685129536544163,-0.029771268066207224,5.0,S4,D2-DISCOVERY,c007_s2_00500
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c007,,,,,,,NOT_SELECTED,,,0.1016103019148532,AMBIGUOUS,0.08995705954593713,False,,4840.775424115238,0.004325224631256065,0.22216489400492587,-0.01057837090726177,0.08995705954593713,6.4,S4,D2-DISCOVERY,c007_s2_00640
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c007,,,,,,,NOT_SELECTED,,,0.14291815879901834,AMBIGUOUS,0.0706290280099563,False,,4442.971364882046,0.00625291353504246,0.945117139128131,-0.0706290280099563,0.062194960148114875,8.0,S4,D2-DISCOVERY,c007_s2_00800
,WIDEN,m1d_b20260827_c010,,0.367152145069582,0.001998463869497074,6.196345114081621,0.17463316784745908,-0.14081752196813802,CONFIRMED,WIDEN,,0.401499250512336,WIDEN,0.21754692537222886,True,,4997.493898955322,0.004307429174045535,2.5648830137786374,0.21754692537222886,-0.13125395898204073,1.25,S4,D2-DISCOVERY|D2-CONFIRMATION,c010_s2_00125
,WIDEN,m1d_b20260827_c010,,0.36485607775119844,0.001768552141946148,5.911114778700154,0.17083273852530367,-0.14215662910449645,CONFIRMED,WIDEN,,0.2843261189124586,WIDEN,0.14448596882108644,True,,6470.860919395258,0.0027245792842925123,3.247647969558005,0.14448596882108644,-0.10888211960509375,1.6,S4,D2-DISCOVERY|D2-CONFIRMATION,c010_s2_00160
,WIDEN,m1d_b20260827_c010,,0.3013648625693627,0.0010309825089548897,5.278000394367868,0.17086354026123107,-0.1002803487797227,CONFIRMED,WIDEN,,0.2756929095917837,WIDEN,0.1249284015199208,True,,7853.389462788389,0.002979239676253448,2.1761807714814334,0.1249284015199208,-0.11818244574245296,2.0,S4,D2-DISCOVERY|D2-CONFIRMATION,c010_s2_00200
,WIDEN,m1d_b20260827_c010,,0.20819254402166829,0.0009707298910713612,4.9078148594653035,0.10331730184449506,-0.08680341779637091,CONFIRMED,WIDEN,,0.1757400478124131,WIDEN,0.1009356644890691,True,,9102.60899419955,0.002073851915068427,1.9998837359598844,0.1009356644890691,-0.06362323326701791,2.5,S4,D2-DISCOVERY|D2-CONFIRMATION,c010_s2_00250
,WIDEN,m1d_b20260827_c010,,,,,,,NOT_SELECTED,,,0.14294077154087595,WIDEN,0.07407631062520847,False,HOLD,10069.247458559945,0.0014376491434567548,1.8448572816161104,0.058275935921998645,-0.07407631062520847,3.2,S4,M3-D|D2-DISCOVERY,c010_s2_00320
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c010,,,,,,,NOT_SELECTED,,,0.07952147661889719,AMBIGUOUS,0.04697295808894619,False,,10820.355320604665,0.0016055687206730132,0.8983587056305818,0.04697295808894619,-0.03015087632336333,4.0,S4,D2-DISCOVERY,c010_s2_00400
