config_id,theta_S1,theta_S2,theta_S3,theta_S4,h_S1,h_S2,h_S3,h_S4,curved_S2,curved_S3,curved_S4,P_S2,P_S3,P_S4,L_S2,L_S3,L_S4,rank_P_S2,rank_P_S3,rank_P_S4,rank_L_S2,rank_L_S3,rank_L_S4,k_P_star,k_V_star,kendall_tau,spearman_rho,omega_top,E1,E2,E3,E4,E5,E6,eligible
m1d_b20260827_c010,162.3700047594338,44.854412191074196,220.02684647195355,4.343971130589939,1.6337530333241168,1.9548609276445272,1.7565296629136578,2.528182404693793,1,0,1,0.01490320273898135,0.039326350248097865,0.002977435340351752,0.4369816479650841,0.061260748974492414,1.4988274361453684,2,1,3,2,3,1,S3,S4,-1.0,-1.0,0.7505132826677755,1,1,1,1,1,1,1
m1d_b20260827_c011,191.69337372705854,97.0604356198586,34.32244466824134,334.84840845735016,1.696685658018109,1.863174585765737,1.8658716338361359,2.566696869482164,1,0,0,0.017271224441054653,0.029424263939358087,0.005147784130295132,0.09135674727571572,5.3227590558404065,2.0229370097965353,2,1,3,3,1,2,S3,S3,0.3333333333333333,0.5,0.7157081158007528,1,1,0,1,1,1,0
m1d_b20260827_c012,226.16039147165463,1.8119343840017654,275.6753916106651,160.52331963053007,1.8394325122637987,1.7690219632121345,2.480282183159494,2.092873019979388,0,1,0,0.03818907560226481,0.003758241685858307,0.018240256892780013,9.58037412288278,0.0008365702964220821,0.0633407125680972,1,3,2,1,3,2,S2,S2,1.0,1.0,0.9933457472344153,1,1,0,0,1,0,0
m1d_b20260827_c013,132.86485132774789,329.2722741763081,244.5050603951364,179.45815223319158,1.519462493207231,2.0103155819767204,2.5082576056028345,1.9034374697371896,0,0,1,0.021987693742783795,0.005843558596194466,0.0170692669189707,2.808111308328644,0.2582955569113673,0.006628987296915651,1,3,2,1,2,3,S2,S2,0.3333333333333333,0.5,0.913790610679151,1,1,0,1,1,0,0
m1d_b20260827_c014,188.98398416153094,79.93824167632802,287.7288277809823,147.95488150208433,1.5531305000529139,1.8056613121586338,2.140082745031221,2.3571693052093923,1,0,0,0.016712907359297174,0.016325669510190762,0.009172143659660228,0.6307124117704714,0.3086776394741749,0.002303048806796361,1,2,3,1,2,3,S2,S2,1.0,1.0,0.6697642912919474,1,1,0,0,1,1,0
m1d_b20260827_c015,214.60008444593018,20.872820028271533,129.29005815919794,277.46172175073406,1.5981483976316107,1.8091416411222228,2.1397793495203845,1.9980495207438995,1,0,0,0.01761095774040512,0.016151395934848267,0.02292712185749804,2.698641471435678,0.1455406531294712,0.040957530449054515,2,3,1,1,2,3,S4,S2,-0.3333333333333333,-0.5,0.9353590446637815,1,1,1,0,1,0,0
m1d_b20260827_c016,142.51997600239338,188.9549734554257,343.786013707184,295.2698251155572,1.5703055909487489,2.307537033376043,2.166251487910812,1.519765702357266,0,1,1,0.010396097602329854,0.006634090304019734,0.035532051421659404,0.004055221656684223,1.6109070085855925,2.529039014455047,2,3,1,3,2,1,S4,S4,0.3333333333333333,0.5,0.610289154157763,1,1,0,1,1,1,0
m1d_b20260827_c017,136.2310817828648,239.86203112758918,40.785093867528474,85.61961870754887,1.629510472829989,2.1445648015769203,2.100138522726563,2.164483694645617,1,0,0,0.008805951757985674,0.012712355785283201,0.015227973938123352,0.08956307345547024,0.36092867304554743,0.009799441754271396,3,2,1,2,1,3,S4,S3,-0.3333333333333333,-0.5,0.7841311809892119,1,1,1,1,1,1,1
m1d_b20260827_c018,137.29801337374175,20.875710358944932,64.31565204277689,204.1052479061603,1.7344763960342877,1.5837709579623565,1.8548127834791965,1.8165255673367144,0,0,0,0.04058359947581532,0.03181898060226733,0.03492176730892598,4.068722356308794,0.18327503099749015,0.12134249839207,1,3,2,1,2,3,S2,S2,0.3333333333333333,0.5,0.9303467058698738,1,1,0,0,1,0,0
m1d_b20260827_c019,178.24991063244576,314.0979327386367,131.17111622211223,241.6967973799226,1.8970174028671498,2.5666060236273056,2.117914980164847,2.2339549450829366,0,0,0,0.004718529770743434,0.017096540413981575,0.012828117001813893,4.164806522373462,0.012152210894107944,0.037579007222899384,3,1,2,1,3,2,S3,S2,-1.0,-1.0,0.9882000776409656,1,1,1,1,1,0,0
