candidate_index,config_id,state_id,s2,candidate_stratum,corrected_class,class_certainty_score,probability_semantics_valid,reference_action_class_valid,minimum_arm_ESS,p_ref_full,P_base,P_widen,P_shrink,M2_base,M2_widen,M2_shrink,ambiguity_or_invalid_reason
39,m1d_b20260827_c007,c007_s2_00250,2.5,G-H,AMBIGUOUS,,True,False,5184.262700963995,0.08674899999999999,0.08550992580930465,0.08512687899438101,0.08546003473436757,0.1359681630844372,0.13494511928191266,0.1408766869672956,no_unique_preregistered_class
40,m1d_b20260827_c007,c007_s2_00320,3.2,G-H,AMBIGUOUS,,True,False,4958.51405902446,0.08674899999999999,0.0865909148845703,0.08594915807485368,0.08606903084964039,0.15121438502126694,0.13987056794380048,0.14494531915511438,unsupported_required_contrast
41,m1d_b20260827_c007,c007_s2_00400,4.0,G-H,AMBIGUOUS,,True,False,4687.538977092142,0.08674899999999999,0.08767116916159075,0.08726834226032265,0.08747251611006936,0.15899538855034187,0.15539397638398633,0.16322938565457693,unsupported_required_contrast
42,m1d_b20260827_c007,c007_s2_00500,5.0,G-S,AMBIGUOUS,,True,False,5054.261468974768,0.08674899999999999,0.0857184160613079,0.08462939640495828,0.08598796494331956,0.14109160102649088,0.13689112515044086,0.14629100928950114,unsupported_required_contrast
43,m1d_b20260827_c007,c007_s2_00640,6.4,G-S,AMBIGUOUS,,True,False,4840.775424115238,0.08674899999999999,0.08700420389648564,0.08788466121370317,0.08699446548865174,0.14638677467304534,0.15955529847904618,0.1448382410746361,unsupported_required_contrast
44,m1d_b20260827_c007,c007_s2_00800,8.0,G-S,AMBIGUOUS,,True,False,4442.971364882046,0.08674899999999999,0.08867880168041016,0.08886818071377277,0.08839264609155681,0.16734580435176988,0.17775386998438242,0.15552633284886005,unsupported_required_contrast
45,m1d_b20260827_c010,c010_s2_00125,1.25,G-W,WIDEN,2.5648830137786387,True,True,4997.493898955322,0.096929,0.09747738162261903,0.09803898453848382,0.0979356362461765,0.15763168475342032,0.1369419020685249,0.19192397311277137,
46,m1d_b20260827_c010,c010_s2_00160,1.6,G-W,WIDEN,3.2476479695580047,True,True,6470.860919395258,0.096929,0.0956574360461949,0.09614350688751462,0.09524071094248558,0.12248212684913724,0.10914601326406322,0.14017907561020204,
47,m1d_b20260827_c010,c010_s2_00200,2.0,G-W,WIDEN,2.1761807714814334,True,True,7853.389462788389,0.096929,0.09601717946836866,0.09579283091834548,0.095758122115059,0.10379327708060845,0.09152673374359806,0.1167600052748031,
48,m1d_b20260827_c010,c010_s2_00250,2.5,G-H,WIDEN,1.9998837359598842,True,True,9102.60899419955,0.096929,0.09550954937365107,0.09573485267156237,0.09524167743483533,0.09051618531207689,0.084757252939526,0.0996524966235671,
49,m1d_b20260827_c010,c010_s2_00320,3.2,G-H,WIDEN,1.8448572816161106,True,True,10069.247458559945,0.096929,0.09889293928262999,0.09830375188295676,0.0984863809985188,0.09102410621994542,0.08428137625321477,0.09632862120137616,
50,m1d_b20260827_c010,c010_s2_00400,4.0,G-H,AMBIGUOUS,,True,False,10820.355320604665,0.096929,0.09602914137434622,0.0958222393465818,0.09566309410001626,0.08078149009562081,0.07834585737853075,0.08457603564424504,unsupported_required_contrast
51,m1d_b20260827_c010,c010_s2_00500,5.0,G-S,HOLD,0.014202318530479041,True,True,11835.203266795776,0.096929,0.09656074062653111,0.09682649270102077,0.09685871459436386,0.0769917416259528,0.07797813952850718,0.07926869003756774,
52,m1d_b20260827_c010,c010_s2_00640,6.4,G-S,AMBIGUOUS,,True,False,11230.911137235647,0.096929,0.09762217826960438,0.09782359428910457,0.09776548402675381,0.08248844045405063,0.08520640474050387,0.08236702006401005,no_unique_preregistered_class
53,m1d_b20260827_c010,c010_s2_00800,8.0,G-S,SHRINK,1.0226829032311182,True,True,11118.905657297248,0.096929,0.0977023251271565,0.09759454055139052,0.09751482608477348,0.08279584283630886,0.08566215632188615,0.08042905410718756,
54,m1d_b20260827_c017,c017_s2_00125,1.25,G-W,WIDEN,1.1951324710897182,True,True,5935.4880410535925,0.080947,0.08070805134614997,0.08058506428284995,0.08076283846546269,0.10769849373993876,0.10312681092774509,0.1098921610469727,
55,m1d_b20260827_c017,c017_s2_00160,1.6,G-W,AMBIGUOUS,,True,False,4063.639825887128,0.080947,0.08078184824148042,0.0804570609759179,0.08101741286792226,0.13251875330833993,0.10483469836247465,0.16152566342117772,unsupported_required_contrast
56,m1d_b20260827_c017,c017_s2_00200,2.0,G-W,AMBIGUOUS,,True,False,5914.150135758545,0.080947,0.08212454728381201,0.08164413719805746,0.08198481677180514,0.10935351273005697,0.09249113198376221,0.1136513282012643,unsupported_required_contrast
57,m1d_b20260827_c017,c017_s2_00250,2.5,G-H,AMBIGUOUS,,True,False,7121.8422590875925,0.080947,0.0814276454658253,0.08215634008593137,0.08204539806840534,0.08201556338134038,0.0863241933097677,0.09451834369981515,no_unique_preregistered_class
58,m1d_b20260827_c017,c017_s2_00320,3.2,G-H,AMBIGUOUS,,True,False,7064.003847364863,0.080947,0.08097334762610574,0.08043455316922353,0.08114459019539465,0.08499257825089088,0.07722881816772022,0.09321122496889325,unsupported_required_contrast
59,m1d_b20260827_c017,c017_s2_00400,4.0,G-H,AMBIGUOUS,,True,False,7605.424819820296,0.080947,0.07992012676766246,0.07966147851857103,0.08076816809837191,0.07346907426459891,0.07097054690564679,0.08577426156348492,unsupported_required_contrast
60,m1d_b20260827_c017,c017_s2_00500,5.0,G-S,AMBIGUOUS,,True,False,8065.164278447123,0.080947,0.08158324157325855,0.08161739493447245,0.0821965544957509,0.07846990579719378,0.07818925374938505,0.08377105955582356,no_unique_preregistered_class
61,m1d_b20260827_c017,c017_s2_00640,6.4,G-S,AMBIGUOUS,,True,False,8084.266980451134,0.080947,0.08160225054645988,0.08240829350558512,0.08189318499869268,0.07591199622393764,0.0840042375508446,0.07782303717322199,no_unique_preregistered_class
62,m1d_b20260827_c017,c017_s2_00800,8.0,G-S,AMBIGUOUS,,True,False,7909.980494838626,0.080947,0.0800867602138833,0.08004019123217242,0.07975531337365363,0.07882749999926986,0.08099175739640593,0.075280920428783,unsupported_required_contrast
63,m1d_b20260827_c020,c020_s2_00125,1.25,G-W,WIDEN,3.5323527644664923,True,True,6334.731911395481,0.11257399999999998,0.11133879185991716,0.111824374503222,0.11103680927307816,0.16758167882157177,0.14746241577749203,0.19462817347277347,
64,m1d_b20260827_c020,c020_s2_00160,1.6,G-W,WIDEN,5.965249456972389,True,True,7440.192184066207,0.11257399999999998,0.11237764553772969,0.11190766365526472,0.11274051523855692,0.14595915417390362,0.12711576231941552,0.1708346163890191,
65,m1d_b20260827_c020,c020_s2_00200,2.0,G-W,WIDEN,3.3843787848841713,True,True,9032.616659632204,0.11257399999999998,0.10990586616058344,0.11029356997527573,0.10996439904092403,0.11960031450619087,0.11167653986502843,0.1338722710382791,
66,m1d_b20260827_c020,c020_s2_00250,2.5,G-H,WIDEN,1.9918837579643596,True,True,10118.416815825847,0.11257399999999998,0.11057411111179269,0.11056674289676312,0.11074115302006746,0.1105899832298172,0.10493739088878959,0.12120080834219973,
67,m1d_b20260827_c020,c020_s2_00320,3.2,G-H,WIDEN,1.1563315352945993,True,True,10955.962391770183,0.11257399999999998,0.11307018729232828,0.11285795769147126,0.11323722103037451,0.11224523110742635,0.10951535735714062,0.11703826435470358,
68,m1d_b20260827_c020,c020_s2_00400,4.0,G-H,AMBIGUOUS,,True,False,11525.919287498633,0.11257399999999998,0.11163878775103483,0.11173342648007975,0.11093011501853997,0.10652435229457909,0.10831551290247457,0.10511779102625392,unsupported_required_contrast
69,m1d_b20260827_c020,c020_s2_00500,5.0,G-S,AMBIGUOUS,,True,False,11177.502953855785,0.11257399999999998,0.11226759052896226,0.11189914859408931,0.11187925328582402,0.10950565183992969,0.11202340547593145,0.10665275037677562,unsupported_required_contrast
70,m1d_b20260827_c020,c020_s2_00640,6.4,G-S,SHRINK,1.191775126479225,True,True,10379.197312514041,0.11257399999999998,0.11309472281831452,0.11367701087705576,0.11344970152957283,0.11506072212693204,0.1245034891702255,0.11102572218527126,
71,m1d_b20260827_c020,c020_s2_00800,8.0,G-S,SHRINK,2.635692806845334,True,True,9613.778164563406,0.11257399999999998,0.11241638281920492,0.11227323551616983,0.1115137308398771,0.12146588074108275,0.1311168116998234,0.1112832523937691,
